"product_review","word","n","sentiment"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","smell",108,"disgust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","smell",108,"negative"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","top",107,"anticipation"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","top",107,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","top",107,"trust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","remove",101,"anger"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","remove",101,"fear"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","remove",101,"negative"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","remove",101,"sadness"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","happy",100,"anticipation"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","happy",100,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","happy",100,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","happy",100,"trust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","gray",95,"disgust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","gray",95,"sadness"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","recommend",92,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","recommend",92,"trust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","pretty",88,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","pretty",88,"joy"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","pretty",88,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","pretty",88,"trust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","recommend",83,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","recommend",83,"trust"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","ground",82,"trust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","time",79,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","leave",78,"negative"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","leave",78,"sadness"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","leave",78,"surprise"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","ripe",78,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","bottom",76,"negative"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","bottom",76,"sadness"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","worth",75,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","worth",74,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","nose",72,"disgust"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","recommend",68,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","recommend",68,"trust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","gift",68,"anticipation"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","gift",68,"joy"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","gift",68,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","gift",68,"surprise"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","cool",66,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","dark",64,"sadness"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","money",61,"anger"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","money",61,"anticipation"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","money",61,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","money",61,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","money",61,"surprise"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","money",61,"trust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","pretty",60,"anticipation"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","pretty",60,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","pretty",60,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","pretty",60,"trust"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","fun",60,"anticipation"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","fun",60,"joy"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","fun",60,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","true",59,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","true",59,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","true",59,"trust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","mess",59,"disgust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","mess",59,"negative"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","bad",58,"anger"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","bad",58,"disgust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","bad",58,"fear"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","bad",58,"negative"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","bad",58,"sadness"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","safe",58,"joy"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","safe",58,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","safe",58,"trust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","clean",57,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","clean",57,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","clean",57,"trust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","job",57,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","cheap",56,"negative"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","remove",56,"anger"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","remove",56,"fear"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","remove",56,"negative"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","remove",56,"sadness"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","broke",55,"fear"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","broke",55,"negative"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","broke",55,"sadness"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","daughter",53,"joy"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","daughter",53,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","pad",51,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","worth",49,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","remove",47,"anger"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","remove",47,"fear"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","remove",47,"negative"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","remove",47,"sadness"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","gift",46,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","gift",46,"joy"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","gift",46,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","gift",46,"surprise"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","bad",45,"anger"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","bad",45,"disgust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","bad",45,"fear"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","bad",45,"negative"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","bad",45,"sadness"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","weird",45,"disgust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","weird",45,"negative"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","pretty",44,"anticipation"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","pretty",44,"joy"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","pretty",44,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","pretty",44,"trust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","difficult",44,"fear"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","received",43,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","watch",43,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","watch",43,"fear"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","expected",42,"anticipation"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","job",42,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","disappointed",41,"anger"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","disappointed",41,"disgust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","disappointed",41,"negative"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","disappointed",41,"sadness"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","worth",41,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","happy",40,"anticipation"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","happy",40,"joy"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","happy",40,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","happy",40,"trust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","found",40,"joy"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","found",40,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","found",40,"trust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","messy",40,"disgust"
